City,Latitude,Longitude,Bedrooms,Bathrooms,Property Type,Square Footage,Actual Price,Predicted Price,Residual,Absolute Error
Langley,49.0604531,-122.6573311,2.0,2.0,Single Family,1400.0,4950000.0,1763104.9526888717,3186895.047311128,3186895.047311128
Maple Ridge,49.2069457,-122.5507553,3.0,3.0,Townhome,1906.0,4190000.0,1017889.5899613876,3172110.4100386123,3172110.4100386123
Coquitlam,49.2525917,-122.8896262,1.0,1.0,Single Family,600.0,4670050.0,1783918.7093235028,2886131.290676497,2886131.290676497
Maple Ridge,49.2253434,-122.6482268,3.0,2.0,Single Family,3038.0,4850000.0,2091658.2390471972,2758341.760952803,2758341.760952803
Victoria,48.422221,-123.384548,2.0,4.0,Condo,4155.0,5000000.0,2250465.015559524,2749534.984440476,2749534.984440476
West Vancouver,49.3649355,-123.2850234,2.0,2.0,Single Family,2366.0,4888000.0,2239546.1267305203,2648453.8732694797,2648453.8732694797
Lake Country,50.016273,-119.4414416,4.0,5.0,Single Family,4332.0,4789000.0,2182889.3352658725,2606110.6647341275,2606110.6647341275
Surrey,49.1924967,-122.8203883,4.0,2.0,Single Family,2380.0,4990000.0,2396158.2575746407,2593841.7424253593,2593841.7424253593
Surrey,49.1694348,-122.8042139,5.0,2.0,Single Family,2600.0,4875000.0,2390032.984845377,2484967.015154623,2484967.015154623
Kelowna,49.8364917,-119.464163,1.0,1.0,Single Family,1162.0,3500000.0,1034584.8587606517,2465415.1412393483,2465415.1412393483
Surrey,49.1831154,-122.8397723,10.0,6.0,MultiFamily,4300.0,4600000.0,2207092.2628994253,2392907.7371005747,2392907.7371005747
Coquitlam,49.2723817,-122.8047261,2.0,1.0,Single Family,1088.0,4850000.0,2471208.7196190474,2378791.2803809526,2378791.2803809526
Coquitlam,49.2367305,-122.8824164,2.0,1.0,Single Family,866.0,4475000.0,2135868.968609128,2339131.031390872,2339131.031390872
Kelowna,49.869442,-119.4255676,3.0,2.0,Single Family,3301.0,3998000.0,1699561.2518825762,2298438.7481174236,2298438.7481174236
Vancouver,49.2114035,-123.0965026,3.0,2.0,Single Family,1547.0,4100000.0,1811882.2305,2288117.7695,2288117.7695
